"symbol","gene_id","log2FoldChange","padj","baseMean","regulacion"
"CSN1S1","ENSG00000126545.14",22.788,"6.41e-13",21.09,"Up"
"PADI3","ENSG00000142619.4",22.155,"3.07e-12",12.79,"Up"
"PAX7","ENSG00000009709.13",9.677,"4.32e-06",87.36,"Up"
"MAGEA4","ENSG00000147381.12",9.233,"8.00e-03",28.12,"Up"
"MMP13","ENSG00000137745.13",9.167,"4.56e-18",273.2,"Up"
"TMPRSS11A","ENSG00000187054.17",9.039,"8.29e-03",24.6,"Up"
"SYT12","ENSG00000173227.14",8.552,"1.43e-15",164.96,"Up"
"EEF1A2","ENSG00000101210.14",8.46,"1.25e-14",201.3,"Up"
"PRAME","ENSG00000185686.18",8.439,"3.87e-09",68.55,"Up"
"COL11A1","ENSG00000060718.22",8.393,"5.16e-48",805.21,"Up"
"CYP24A1","ENSG00000019186.10",8.392,"3.08e-27",666.29,"Up"
"LY6D","ENSG00000167656.5",8.358,"1.15e-05",35.52,"Up"
"IVL","ENSG00000163207.7",8.184,"1.03e-10",134.83,"Up"
"TMPRSS11E","ENSG00000087128.10",8.14,"9.78e-13",139.91,"Up"
"KRT16","ENSG00000186832.9",8.106,"1.23e-10",36.52,"Up"
"CST1","ENSG00000170373.9",8.104,"6.40e-18",86.74,"Up"
"CASC9","ENSG00000249395.5",8.059,"4.81e-05",35.34,"Up"
"SPRR1B","ENSG00000169469.9",8.009,"2.62e-04",22.81,"Up"
"CNMD","ENSG00000136110.13",7.986,"1.28e-04",113.9,"Up"
"FGF19","ENSG00000162344.4",7.946,"1.13e-03",21.84,"Up"
"GABRA3","ENSG00000011677.13",7.874,"6.16e-04",25.43,"Up"
"KRT6A","ENSG00000205420.11",7.775,"7.19e-09",595.89,"Up"
"KRT6C","ENSG00000170465.10",7.75,"1.13e-05",28.53,"Up"
"IL36RN","ENSG00000136695.15",7.744,"8.20e-06",23.25,"Up"
"SERPINB5","ENSG00000206075.14",7.727,"1.95e-08",365.27,"Up"
"FOXE1","ENSG00000178919.9",7.717,"2.90e-08",41.64,"Up"
NA,"ENSG00000272328.2",7.685,"8.55e-08",18.22,"Up"
"GPR87","ENSG00000138271.6",7.682,"1.14e-09",50.23,"Up"
"B4GALNT4","ENSG00000182272.12",7.679,"1.19e-12",22.21,"Up"
"AKR1B15","ENSG00000227471.9",7.587,"2.84e-05",25.5,"Up"
"KRT6B","ENSG00000185479.6",7.515,"2.38e-04",29.67,"Up"
"DSG3","ENSG00000134757.5",7.478,"2.95e-04",94.55,"Up"
"CA9","ENSG00000107159.14",7.465,"7.71e-18",96.32,"Up"
"TCN1","ENSG00000134827.8",7.448,"3.26e-11",83.7,"Up"
"SERPINB13","ENSG00000197641.12",7.406,"1.06e-02",61.35,"Up"
"MMP11","ENSG00000099953.10",7.328,"5.49e-43",482.52,"Up"
"LNCDAT","ENSG00000288638.1",7.325,"8.43e-03",14.2,"Up"
"LINC02864","ENSG00000263711.7",7.288,"7.78e-04",32.66,"Up"
NA,"ENSG00000309986.1",7.258,"6.86e-05",13.55,"Up"
"PITX1","ENSG00000069011.16",7.253,"9.03e-14",16.56,"Up"
"BARX1","ENSG00000131668.14",7.151,"3.32e-03",12.59,"Up"
"AKR1B10","ENSG00000198074.10",7.145,"1.72e-09",189.2,"Up"
"SPRR3","ENSG00000163209.15",7.081,"1.90e-03",14.7,"Up"
NA,"ENSG00000302231.1",7.08,"1.28e-11",17.95,"Up"
"HMGA2","ENSG00000149948.14",7.067,"4.38e-10",110.03,"Up"
NA,"ENSG00000286818.3",6.992,"4.48e-11",149.09,"Up"
"SLC24A2","ENSG00000155886.12",6.991,"2.17e-14",13.82,"Up"
"COL17A1","ENSG00000065618.21",6.956,"2.43e-22",465.83,"Up"
"FAM83A","ENSG00000147689.17",6.955,"5.32e-37",341.32,"Up"
"IGFL2","ENSG00000204866.9",6.927,"1.24e-12",19.8,"Up"
"BBOX1-AS1","ENSG00000254560.7",6.927,"5.55e-11",29.7,"Up"
"TMPRSS11D","ENSG00000153802.12",6.917,"1.39e-03",23.56,"Up"
NA,"ENSG00000270460.2",6.874,"5.80e-05",10.39,"Up"
NA,"ENSG00000300153.1",6.87,"1.70e-04",12.7,"Up"
"SERPINB4","ENSG00000206073.11",6.754,"1.05e-03",41.21,"Up"
NA,"ENSG00000298364.1",6.738,"1.48e-03",11.59,"Up"
"ZIC2","ENSG00000043355.12",6.737,"1.90e-07",9.45,"Up"
"C12orf56","ENSG00000185306.13",6.737,"3.31e-06",21.23,"Up"
"SP8","ENSG00000164651.18",6.698,"1.81e-02",9.19,"Up"
"IL37","ENSG00000125571.10",6.679,"1.70e-06",51.86,"Up"
NA,"ENSG00000231764.12",6.66,"3.63e-08",11,"Up"
"COL10A1","ENSG00000123500.10",6.643,"2.21e-52",826.95,"Up"
NA,"ENSG00000249743.9",6.635,"7.07e-03",8.81,"Up"
"DMBX1","ENSG00000197587.12",6.579,"2.55e-10",12.72,"Up"
NA,"ENSG00000296655.1",6.577,"1.51e-03",8.45,"Up"
"HTR3A","ENSG00000166736.12",6.565,"1.29e-12",31.56,"Up"
"FAM83A-AS1","ENSG00000204949.12",6.542,"5.87e-12",18.55,"Up"
"ITPKA","ENSG00000137825.11",6.517,"2.23e-10",25.78,"Up"
"LINC00491","ENSG00000250682.7",6.516,"7.81e-06",25.91,"Up"
"CLDN10-AS1","ENSG00000223392.1",6.452,"5.09e-05",11.66,"Up"
"LOC117779438","ENSG00000227066.3",6.451,"8.75e-19",91.75,"Up"
"GREM1","ENSG00000166923.12",6.429,"2.38e-36",793.65,"Up"
"CLEC3A","ENSG00000166509.12",6.388,"3.42e-02",9.1,"Up"
"GLB1L3","ENSG00000166105.16",6.376,"1.12e-07",136.55,"Up"
"TBXT","ENSG00000164458.10",6.335,"2.39e-04",8.77,"Up"
"DMRTA2","ENSG00000142700.12",6.328,"2.02e-07",10.7,"Up"
"EPIC1","ENSG00000224271.9",6.311,"3.16e-04",8.63,"Up"
